,dt,mis_val,knn,loc_method,path1_av,path2_av,path3_av,path1_b,path2_b,path3_b,path1_av_i,path2_av_i,path3_av_i
36,5s,penalty,3,average,"[14.997511272397398, 7.096251595086742]","[5.596776993993991, 3.3249813290892245]","[8.011123448045268, 4.03791817311325]","[14.665586923780921, 10.66532624593849]","[4.919329799799798, 4.148155691133506]","[6.837689135802469, 5.130485738274843]",[16.991256773123915],[7.252863941358024],[8.678440340111353]
37,5s,penalty,3,gaus_80,"[13.818204222741548, 7.729301937088949]","[5.442376261715786, 2.8667869377948523]","[6.876300965939696, 3.3918468849997234]","[13.750426913824572, 8.297955560819494]","[4.940654795855097, 3.576333397448246]","[6.444915873384928, 3.9877100333467563]",[16.02210006687231],[7.057375721273333],[7.3506851090720335]
38,5s,penalty,3,gaus_normal,"[13.969858358984126, 7.681119484135099]","[5.324988136934891, 2.9123831831903226]","[6.8500732956367365, 3.291083034112271]","[13.86661789235092, 8.278994288144009]","[4.896747170777348, 3.6584833322894856]","[6.398055062395437, 3.8959188575177266]",[16.073130112180344],[6.966549728515261],[7.354851919350507]
39,5s,penalty,3,gaus_top,"[14.074708183558561, 7.480560031676486]","[5.987097288017185, 3.418517318981376]","[7.118292545781894, 3.757224845970598]","[13.284000372316761, 8.93932927049503]","[5.919304799799801, 3.2495541354751847]","[7.204758148148149, 7.4214571134571425]",[16.803862519221326],[8.436895309015537],[7.899260773390651]
40,5s,penalty,6,average,"[15.047695202952955, 6.584809694306738]","[5.838860253294963, 3.128845248895368]","[10.52519639711934, 4.912871802083643]","[14.782717213324437, 8.731209246103361]","[4.464425145562229, 3.4045116742629924]","[8.605546172839505, 6.417987282697253]",[17.059645549085594],[7.150994060185186],[11.319318397845558]
41,5s,penalty,6,gaus_80,"[13.924461750434027, 7.497235398390111]","[5.156472793436581, 2.603125299464748]","[7.833844620566542, 4.030085432439096]","[13.70255336200723, 8.51081907650487]","[4.61078277938452, 2.9399533791173185]","[6.7708760703683035, 4.031361913128522]",[15.9828419756799],[6.764655260634965],[8.369803970629533]
42,5s,penalty,6,gaus_normal,"[14.04510167216915, 7.525956059483133]","[5.127299937870414, 2.668119725896279]","[7.722949047576659, 3.666015703650185]","[13.878762359757502, 8.4866777679372]","[4.4821538539345, 3.106848399561111]","[6.7739505086333685, 3.78325166999093]",[15.953006235285267],[6.687866070418563],[8.215156806109281]
43,5s,penalty,6,gaus_top,"[13.702680447447449, 7.332646128055182]","[5.374057058850518, 2.9642537388889245]","[7.9467286244855995, 4.891464460555285]","[13.141650466577689, 9.317844088511658]","[6.30746660035035, 4.67720283297853]","[7.582114969135803, 6.672548151733217]",[16.742000402981912],[8.131274857857857],[9.060112703747796]
44,5s,penalty,12,average,"[15.230296577077079, 6.672779638884365]","[6.082835635239405, 2.800243162389814]","[16.672419255915635, 6.126637754478279]","[15.05319628092378, 9.646721286268466]","[4.574127941795964, 3.4412591808755493]","[12.022847569444444, 7.734917269690321]",[17.888786749162257],[7.345152536098598],[18.371814557431613]
45,5s,penalty,12,gaus_80,"[14.130520953306403, 7.997220606560168]","[5.041036954785985, 2.191398636122914]","[8.837662999575596, 5.389831332321036]","[14.011056958043994, 8.328830082683243]","[4.1863469953581465, 2.708046095287732]","[8.796136909236075, 7.474480909429456]",[16.388288686069195],[6.472829269390893],[9.739564238626192]
46,5s,penalty,12,gaus_normal,"[14.19408959993273, 7.8796362337320005]","[5.0941074344041395, 2.311781830739832]","[8.721122941810654, 4.724643704894134]","[14.156450539375854, 8.336455624882255]","[4.141533170297152, 3.1178920942804504]","[8.743233036693077, 6.316108434450012]",[16.241298399499534],[6.42317484550218],[9.608472261229142]
47,5s,penalty,12,gaus_top,"[14.09637430855856, 8.6607957639645]","[4.823833355105102, 2.6298999118671764]","[8.977093811213992, 5.841792941979674]","[14.153743101673102, 9.74373682743506]","[6.340876954037371, 4.823852462446679]","[8.733938024691358, 8.129614853317694]",[16.635660185389593],[8.204753167667667],[10.004521929435974]
48,5s,ignore,1,average,"[16.916674169669673, 10.532992189858943]","[12.27832388730397, 7.306341836546399]","[14.113933836934157, 6.5193438785077]","[18.835576574860582, 14.007745679980134]","[11.138944075325325, 10.531185427591316]","[13.866174760348585, 10.500238965126782]",[22.520089593966983],[15.9638629332666],[16.636811536431857]
49,5s,ignore,1,gaus_80,"[16.875934447447452, 10.494877953894255]","[11.573976019853186, 7.245828820914549]","[13.953197114711934, 6.534298306992427]","[18.835576574860582, 14.007745679980134]","[10.480856771989382, 10.62593829128501]","[13.866174760348585, 10.500238965126782]",[22.46055986475542],[15.280323311574515],[16.510454515150258]
50,5s,ignore,1,gaus_normal,"[16.875934447447452, 10.494877953894255]","[11.573976019853186, 7.245828820914549]","[13.953197114711934, 6.534298306992427]","[18.835576574860582, 14.007745679980134]","[10.480856771989382, 10.62593829128501]","[13.866174760348585, 10.500238965126782]",[22.46055986475542],[15.280323311574515],[16.510454515150258]
51,5s,ignore,1,gaus_top,"[16.875934447447452, 10.494877953894255]","[11.573976019853186, 7.245828820914549]","[13.953197114711934, 6.534298306992427]","[18.835576574860582, 14.007745679980134]","[10.480856771989382, 10.62593829128501]","[13.866174760348585, 10.500238965126782]",[22.46055986475542],[15.280323311574515],[16.510454515150258]
52,5s,ignore,3,average,"[17.76579930960127, 11.4765273175896]","[10.918918433850513, 5.13013295121919]","[13.729992818415637, 5.996812393614792]","[18.252928478764478, 13.700118118557981]","[7.099633426760093, 7.48508811006716]","[13.3349203909465, 9.012245610390908]",[21.018397767619998],[12.45481041041041],[15.503338703945776]
53,5s,ignore,3,gaus_80,"[18.187539007434705, 12.50797908565992]","[9.836252160692334, 5.252168791436295]","[14.192141009675971, 7.082352980018163]","[18.767145515709693, 16.64727079159947]","[6.83692858444623, 7.8987932071816]","[14.013048278765387, 11.731224753093503]",[21.631377108026978],[11.395446965368645],[16.281534546414548]
54,5s,ignore,3,gaus_normal,"[18.086809436461756, 12.163643968000189]","[9.961869019961895, 5.155420817368201]","[14.155343995534288, 6.790869571043017]","[18.676805254713017, 16.36722065591015]","[6.770824387371664, 7.8316842497301495]","[13.887407384042168, 10.945673429362502]",[21.407807390420682],[11.43937362755277],[16.10308619670234]
55,5s,ignore,3,gaus_top,"[19.02614984876543, 13.309713801703454]","[10.283378767183851, 5.773094576967477]","[14.172697799897122, 7.455942160348311]","[21.31410367538967, 14.162432067880475]","[7.967462914998332, 9.266269945887753]","[14.628578034979423, 12.307866062001189]",[24.168366037010024],[12.696265835335335],[16.929085355846045]
56,5s,ignore,6,average,"[17.669239327932097, 11.125991459687752]","[10.007644919961626, 4.40261053966735]","[12.652087667952674, 5.395479892369459]","[17.156747294437295, 12.680190780578313]","[5.498747523982316, 6.433882264970066]","[12.599136316872428, 7.100206992602366]",[20.17974167653606],[10.886565222013681],[14.615553265795208]
57,5s,ignore,6,gaus_80,"[17.945516029147555, 11.957224284615128]","[8.628463089311216, 4.777554822238904]","[13.98939190244104, 6.269690529283078]","[18.164938780793214, 13.229694662087946]","[5.28099832710672, 6.513168246748868]","[13.751060003658198, 10.541760632085081]",[20.765254507547326],[9.854523240312732],[15.92435629985718]
58,5s,ignore,6,gaus_normal,"[17.79720492342591, 11.651243277886907]","[8.75360931691477, 4.610311158433927]","[13.60872087884656, 5.878448246904528]","[17.617284098696597, 12.985123298246622]","[5.3095678358457965, 6.407816867776432]","[13.464138951111309, 9.203142954775307]",[20.384204934158454],[9.836299036356158],[15.527388163385783]
59,5s,ignore,6,gaus_top,"[16.749456684100767, 12.056813137076803]","[9.011391882298968, 6.083355581052868]","[14.434543105452677, 6.920403470913132]","[17.763716246818245, 14.186730889719415]","[8.347277688104771, 8.707511727368116]","[15.560653497942386, 12.38715587976183]",[21.559684964402496],[11.39465228595262],[16.814063620793995]
60,5s,ignore,12,average,"[16.74934324015682, 10.854957141905336]","[8.666474746350517, 3.5551491774249855]","[12.305522258230448, 5.143673584882422]","[15.9507456991992, 11.672115015154281]","[5.075972808329162, 4.37908962364654]","[11.843599650205762, 6.181118763281413]",[18.566201573170392],[9.69727146494411],[14.337130871247883]
61,5s,ignore,12,gaus_80,"[17.542384243313805, 12.043010164424885]","[7.27926633691957, 3.613329875072637]","[13.311238412210258, 5.63879588229788]","[17.101503288141366, 12.587446885330861]","[4.401395348804435, 2.8324349341800303]","[12.407253351105094, 7.925915208028924]",[19.685707554815444],[8.395653050244427],[15.19032614072188]
62,5s,ignore,12,gaus_normal,"[17.179488823384, 11.63359478040823]","[7.448122358641096, 3.494959388140065]","[12.974583376917337, 5.438768111898143]","[16.741265153291856, 11.985559282257467]","[4.542179635549207, 3.385720682301951]","[12.282626083428111, 7.199371267997924]",[19.172364711820034],[8.432091709425617],[14.915029622257398]
63,5s,ignore,12,gaus_top,"[17.92534153382549, 12.596911143520053]","[6.284793382298965, 4.649690011601053]","[13.930673672325106, 6.372372072590177]","[19.609916336908338, 16.088560896295828]","[6.707234161244578, 6.830277428870969]","[12.878553199588477, 10.97468214507722]",[21.710249440394364],[9.193092378044712],[15.113244365528931]
64,10s,penalty,1,average,"[12.744375706595484, 9.492717544169116]","[3.9634956159492845, 2.38404143446346]","[6.674730246913581, 3.1242444664133733]","[13.265726999777554, 9.018725834622018]","[4.618269592092092, 3.6253598917944467]","[5.61220537037037, 4.732836602456819]",[14.068656542320099],[5.549708879212547],[7.495230995884775]
65,10s,penalty,1,gaus_80,"[12.744375706595484, 9.492717544169116]","[3.9634956159492845, 2.38404143446346]","[6.674730246913581, 3.1242444664133733]","[13.265726999777554, 9.018725834622018]","[4.618269592092092, 3.6253598917944467]","[5.61220537037037, 4.732836602456819]",[14.068656542320099],[5.549708879212547],[7.495230995884775]
66,10s,penalty,1,gaus_normal,"[12.744375706595484, 9.492717544169116]","[3.9634956159492845, 2.38404143446346]","[6.674730246913581, 3.1242444664133733]","[13.265726999777554, 9.018725834622018]","[4.618269592092092, 3.6253598917944467]","[5.61220537037037, 4.732836602456819]",[14.068656542320099],[5.549708879212547],[7.495230995884775]
67,10s,penalty,1,gaus_top,"[12.744375706595484, 9.492717544169116]","[3.9634956159492845, 2.38404143446346]","[6.674730246913581, 3.1242444664133733]","[13.265726999777554, 9.018725834622018]","[4.618269592092092, 3.6253598917944467]","[5.61220537037037, 4.732836602456819]",[14.068656542320099],[5.549708879212547],[7.495230995884775]
68,10s,penalty,3,average,"[13.258436928817707, 9.034084309865229]","[3.8686831715048378, 2.055801883543636]","[6.358853370370369, 3.221086962917582]","[13.203992733288844, 10.443502641531811]","[2.9109048698698694, 2.6622245291280366]","[5.919742263374485, 4.385941300581986]",[13.820629524746968],[4.524384718718716],[7.044817016460906]
69,10s,penalty,3,gaus_80,"[13.116942422550144, 8.76683461442231]","[3.989252748538579, 1.9978022338962815]","[6.103628078906423, 3.3542017135466997]","[12.477510101790505, 8.360399495232397]","[3.318233036257181, 2.502797337956768]","[5.706314510399057, 4.661148982269734]",[13.538492764198484],[4.810483997777772],[6.759528144287219]
70,10s,penalty,3,gaus_normal,"[13.183898618842798, 8.812495008098267]","[3.9203042498000276, 2.0203725785880136]","[6.144097144469045, 3.295333063975071]","[12.509065516947992, 8.487143461991563]","[3.097560640212412, 2.5909113252788103]","[5.65261832558714, 4.630549452820369]",[13.589739000342664],[4.6396882515352],[6.77788579709987]
71,10s,penalty,3,gaus_top,"[12.704376706595486, 8.866240128636308]","[4.116825115949282, 2.37126707447355]","[6.174495839506173, 3.374751612113878]","[11.758019911578243, 9.223822691966943]","[4.244838821321321, 2.5634834943767255]","[5.246233724279836, 4.189943978955321]",[13.828124239684126],[5.967238202702703],[6.954174563786007]
72,10s,penalty,6,average,"[13.427321595484374, 9.049636527136657]","[3.9283113103937293, 1.9618952511264938]","[8.11016761111111, 4.027335059481772]","[12.92712648565232, 9.106197689943295]","[3.381263480980982, 2.3577153930428256]","[6.861694022633744, 4.3522982580623735]",[14.077413228450675],[4.557947443193194],[8.977855109053497]
73,10s,penalty,6,gaus_80,"[13.49989319939641, 9.24070297148708]","[3.988840681822902, 2.0388497422213736]","[8.446640088616023, 5.932509168512965]","[13.263509147703765, 9.321934426608172]","[3.7200361808543536, 2.3445932299188947]","[7.455475759433028, 6.568342212444835]",[14.086992296315666],[4.9511837456921],[9.098677005306627]
74,10s,penalty,6,gaus_normal,"[13.587738743362536, 9.136108369092739]","[3.9013240117473127, 1.9870459279492636]","[8.222817121862509, 5.289611058014449]","[13.334250079405898, 9.276128133880542]","[3.55170350395403, 2.2800351186310848]","[7.214036667723295, 6.050390795414507]",[14.134462376844539],[4.696985645177149],[8.856841468383177]
75,10s,penalty,6,gaus_top,"[13.162335820487153, 9.508279816110308]","[3.643503615949283, 2.3344103346344753]","[9.470380518518517, 7.269607275844273]","[11.767873963963963, 9.53827207020966]","[4.749864567067068, 2.221476189318619]","[8.878790370370371, 8.136021482508404]",[14.486465397619842],[5.752715704704706],[10.52034055144033]
76,10s,penalty,12,average,"[13.08424375289178, 8.316524949682112]","[4.306079643727062, 1.8431495467895895]","[13.140371070987648, 6.523184839582164]","[13.596262242659325, 9.14047413955952]","[3.596631803678678, 3.113560909163969]","[9.636933281893002, 6.038735892529917]",[14.463085935407628],[4.924301313813815],[15.240538044238685]
77,10s,penalty,12,gaus_80,"[13.365390799899776, 8.589470832375639]","[3.9468687451606304, 1.565636433274546]","[9.39420103260055, 7.209399040757542]","[12.340650495525416, 8.07884163005395]","[3.3241819507668313, 2.17946387779265]","[8.881899227403254, 8.623571100981769]",[14.130649338479415],[4.804930888244464],[10.409658687396252]
78,10s,penalty,12,gaus_normal,"[13.416873456869995, 8.568176144364456]","[4.087512948529537, 1.7395866153149993]","[9.20172228839913, 6.4075226067607565]","[12.285626924000546, 8.149389025760126]","[3.2864491042728012, 2.715601106416839]","[8.733705471478807, 7.453537090952472]",[14.086302923033571],[4.794019388571543],[10.283584671416637]
79,10s,penalty,12,gaus_top,"[12.725309709376042, 7.381184527405024]","[3.2435136159492814, 1.945321985084175]","[9.795146061728396, 7.75427480312931]","[10.019769519519519, 6.592364682586337]","[4.560980400400401, 2.4086552684735127]","[9.167946378600822, 10.173382239019574]",[14.11737812112112],[6.052688185185184],[11.133493946502059]
80,10s,ignore,1,average,"[19.050063164831496, 15.09355915599648]","[14.550418123456787, 7.143936830035137]","[16.748717074074076, 6.183612148881271]","[20.724147289511738, 14.588466638631969]","[10.272193416750083, 11.008327273812736]","[14.686052592592594, 12.924927125236048]",[24.48376411867423],[16.439077390056724],[19.15765547736626]
81,10s,ignore,1,gaus_80,"[18.463904979646312, 14.883413696357398]","[13.250908291916915, 6.202311698919259]","[16.468724074074075, 6.175568548291201]","[19.92686251001001, 16.538174582410562]","[8.527308272818273, 9.78082001842285]","[14.686052592592594, 12.924927125236048]",[23.94464172917689],[14.449229805814905],[18.90243067925442]
82,10s,ignore,1,gaus_normal,"[18.463904979646312, 14.883413696357398]","[13.250908291916915, 6.202311698919259]","[16.468724074074075, 6.175568548291201]","[19.92686251001001, 16.538174582410562]","[8.527308272818273, 9.78082001842285]","[14.686052592592594, 12.924927125236048]",[23.94464172917689],[14.449229805814905],[18.90243067925442]
83,10s,ignore,1,gaus_top,"[18.463904979646312, 14.883413696357398]","[13.250908291916915, 6.202311698919259]","[16.468724074074075, 6.175568548291201]","[19.92686251001001, 16.538174582410562]","[8.527308272818273, 9.78082001842285]","[14.686052592592594, 12.924927125236048]",[23.94464172917689],[14.449229805814905],[18.90243067925442]
84,10s,ignore,3,average,"[18.170085164831494, 11.480171447635728]","[11.872927504838167, 5.111392769576557]","[15.607017222222222, 5.167275886228449]","[17.44363760149038, 13.820603775793087]","[7.510723138138136, 7.624873295628187]","[13.901710061728396, 9.608769846820746]",[20.72545671438105],[12.572454004671334],[16.76682361728395]
85,10s,ignore,3,gaus_80,"[18.291556223276316, 12.26315703182429]","[9.718559342433947, 4.895060595167836]","[16.816051269675583, 7.348368815803027]","[15.625526277130518, 15.001312709658265]","[7.742346061455048, 6.315413377160262]","[14.411052780434577, 11.973323999648992]",[20.76900462664087],[10.67683180242604],[18.209032452839864]
